old_target,target,step_cps,rise_time_s,peak_time_s,overshoot_cps,overshoot_percent,settling_time_s,settling_band_cps,steady_mean_cps,steady_mean_error_cps,steady_mae_cps,steady_rmse_cps,steady_error_std_cps,steady_speed_std_cps,steady_mean_pwm,steady_pwm_std,steady_mean_abs_pid,peak_abs_pid,saturation_fraction,kp,filename,segment,samples
4000.0,6000.0,2000.0,0.04,0.07,200.00000000000017,10.000000000000009,0.08,150.0,5995.333333333333,4.666666666666667,27.333333333333332,52.28129047119374,52.07259889380936,52.07259889380936,84.6691214,1.5621779668142806,0.82,30.0,0.016722408026755852,0.03,right_kp_0.03.txt,2,299
0.0,-2000.0,-2000.0,0.03333333333333333,0.05,299.99999999999983,14.999999999999991,0.16,150.0,-2013.3333333333333,13.333333333333334,40.0,63.245553203367585,61.824123303304695,61.824123303304695,-63.17471470000002,1.8547236990991407,1.2,30.0,0.0,0.03,right_kp_0.03.txt,4,299
-2000.0,-4000.0,-2000.0,0.03,0.06,200.00000000000017,10.000000000000009,0.07,150.0,-4000.0,0.0,21.333333333333332,46.188021535170066,46.188021535170066,46.188021535170066,-73.6594238,1.3856406460551018,0.64,30.0,0.010033444816053512,0.03,right_kp_0.03.txt,5,299
-4000.0,-6000.0,-2000.0,0.039999999999999994,0.06,100.00000000000009,5.000000000000004,0.05,150.0,-6000.0,0.0,34.666666666666664,58.87840577551898,58.87840577551898,58.87840577551898,-83.74413300000002,1.7663521732655694,1.04,30.0,0.013377926421404682,0.03,right_kp_0.03.txt,6,299
0.0,2000.0,2000.0,0.03166666666666667,0.07,299.99999999999983,14.999999999999991,0.1,150.0,2012.6666666666667,-12.666666666666666,35.333333333333336,59.441848333756695,58.076577799392496,58.07657779939249,63.24970383333334,2.3230631119756993,1.4133333333333333,30.0,0.0,0.04,right_kp_0.04.txt,0,299
2000.0,4000.0,2000.0,0.03333333333333333,0.06,200.00000000000017,10.000000000000009,0.08,150.0,4000.0,0.0,24.0,48.98979485566356,48.98979485566356,48.98979485566356,74.14274600000002,1.9595917942265424,0.96,30.0,0.013377926421404682,0.04,right_kp_0.04.txt,1,299
4000.0,6000.0,2000.0,0.03833333333333334,0.07,200.00000000000017,10.000000000000009,0.08,150.0,5998.666666666667,1.3333333333333333,33.333333333333336,57.735026918962575,57.71962885843563,57.719628858435634,84.58245473333332,2.308785154337426,1.3333333333333333,30.0,0.016722408026755852,0.04,right_kp_0.04.txt,2,299
0.0,-2000.0,-2000.0,0.03333333333333333,0.05,399.9999999999999,19.999999999999996,2.6,150.0,-2013.3333333333333,13.333333333333334,32.0,58.87840577551898,57.348835113617504,57.348835113617504,-63.041381366666684,2.2939534045447005,1.28,30.0,0.0,0.04,right_kp_0.04.txt,4,299
-2000.0,-4000.0,-2000.0,0.03,0.05,200.00000000000017,10.000000000000009,2.16,150.0,-4014.6666666666665,14.666666666666666,44.0,67.33003292241385,65.71318149520857,65.71318149520859,-73.07275713333333,2.6285272598083425,1.76,30.0,0.013377926421404682,0.04,right_kp_0.04.txt,5,299
-4000.0,-6000.0,-2000.0,0.034999999999999996,0.06,100.00000000000009,5.000000000000004,0.05,150.0,-6000.0,0.0,21.333333333333332,46.188021535170066,46.188021535170066,46.188021535170066,-83.74413300000002,1.8475208614068026,0.8533333333333334,30.0,0.016722408026755852,0.04,right_kp_0.04.txt,6,299
